12:52:15.264 | 236915 | [http-nio-8080-exec-4] | INFO  | b.c.a.services.FuncionarioService - Funcionario salvo com sucesso!
12:52:15.438 | 237089 | [http-nio-8080-exec-5] | INFO  | b.c.a.services.FuncionarioService - Funcionario salvo com sucesso!
12:52:15.628 | 237279 | [http-nio-8080-exec-6] | INFO  | b.c.a.services.FuncionarioService - Funcionario salvo com sucesso!
12:52:20.714 | 242365 | [http-nio-8080-exec-7] | INFO  | b.c.a.services.FuncionarioService - Funcionario salvo com sucesso!
12:52:21.140 | 242791 | [http-nio-8080-exec-8] | INFO  | b.c.a.services.FuncionarioService - Funcionario salvo com sucesso!
12:52:21.318 | 242969 | [http-nio-8080-exec-9] | INFO  | b.c.a.services.FuncionarioService - Funcionario salvo com sucesso!
12:52:21.524 | 243175 | [http-nio-8080-exec-10] | INFO  | b.c.a.services.FuncionarioService - Funcionario salvo com sucesso!
12:52:21.740 | 243391 | [http-nio-8080-exec-1] | INFO  | b.c.a.services.FuncionarioService - Funcionario salvo com sucesso!
12:53:10.290 | 244  | [main] | INFO  | b.c.a.ApiExemploApplication - Iniciando a api de cadastro!
12:53:10.873 | 827  | [main] | INFO  | b.c.a.ApiExemploApplication - Starting ApiExemploApplication on DESKTOP-VIHBB8T with PID 75360 (C:\Users\salan\Documents\Projects in Java\ApiExemplo\target\classes started by salan in C:\Users\salan\Documents\Projects in Java\ApiExemplo)
12:53:10.874 | 828  | [main] | INFO  | b.c.a.ApiExemploApplication - No active profile set, falling back to default profiles: default
12:53:15.740 | 5694 | [main] | INFO  | b.c.a.ApiExemploApplication - Started ApiExemploApplication in 5.341 seconds (JVM running for 5.967)
12:53:15.741 | 5695 | [main] | INFO  | b.c.a.ApiExemploApplication - API de cadastro iniciada e pronta para receber requisições!
12:53:17.458 | 7412 | [http-nio-8080-exec-1] | INFO  | b.c.a.services.FuncionarioService - Funcionario salvo com sucesso!
12:54:09.516 | 246  | [main] | INFO  | b.c.a.ApiExemploApplication - Iniciando a api de cadastro!
12:54:10.090 | 820  | [main] | INFO  | b.c.a.ApiExemploApplication - Starting ApiExemploApplication on DESKTOP-VIHBB8T with PID 70580 (C:\Users\salan\Documents\Projects in Java\ApiExemplo\target\classes started by salan in C:\Users\salan\Documents\Projects in Java\ApiExemplo)
12:54:10.092 | 822  | [main] | INFO  | b.c.a.ApiExemploApplication - No active profile set, falling back to default profiles: default
12:54:14.873 | 5603 | [main] | INFO  | b.c.a.ApiExemploApplication - Started ApiExemploApplication in 5.253 seconds (JVM running for 5.881)
12:54:14.875 | 5605 | [main] | INFO  | b.c.a.ApiExemploApplication - API de cadastro iniciada e pronta para receber requisições!
